concept_id,label_ko,label_en,class1,class2,class3,Date,finance_statement,corp_code,company
dart_ShortTermAdvancesCustomers,선수금,"Short-term advances customers",부채,유동부채,선수금,20191231,14084695495,035900,JYP
dart_OtherNonCurrentLiabilities,기타비유동부채,"Other non-current liabilities",부채,비유동부채,기타비유동부채,20191231,987555401,035900,JYP
dart_OtherCurrentLiabilities,기타유동부채,"Other current liabilities",부채,유동부채,기타유동부채,20191231,9300166951,035900,JYP
ifrs-full_CurrentTaxLiabilities,당기법인세부채,"Current tax liabilities",부채,유동부채,당기법인세부채,20191231,8616357106,035900,JYP
ifrs-full_NoncurrentLiabilities,비유동부채,"Non-current liabilities",부채,비유동부채,NULL,20191231,2339985312,035900,JYP
ifrs-full_OtherNoncurrentFinancialLiabilities,기타비유동금융부채,"Other non-current financial liabilities",부채,비유동부채,기타비유동금융부채,20191231,1237938411,035900,JYP
ifrs-full_NoncurrentProvisions,충당부채,"Non-current provisions",부채,비유동부채,충당부채,20191231,NULL,035900,JYP
ifrs-full_DeferredTaxLiabilities,이연법인세부채,"Deferred tax liabilities",부채,비유동부채,이연법인세부채,20191231,NULL,035900,JYP
dart_OtherCapitalAdjustments,자본조정,"Other capital adjustments",자본,"지배기업의 소유주지분",자본조정,20191231,-12012398634,035900,JYP
ifrs-full_EquityAttributableToOwnersOfParent,"지배기업의 소유주지분","Equity attributable to owners of parent",자본,"지배기업의 소유주지분",NULL,20191231,158901752320,035900,JYP
ifrs-full_IssuedCapital,자본금,"Issued capital",자본,"지배기업의 소유주지분",자본금,20191231,17942201500,035900,JYP
dart_CapitalSurplus,자본잉여금,"Capital surplus",자본,"지배기업의 소유주지분",자본잉여금,20191231,76901977199,035900,JYP
dart_OtherComprehensiveIncomeLossAccumulatedAmount,기타포괄손익누계액,"Other Comprehensive income/loss accumulated amount",자본,"지배기업의 소유주지분",기타포괄손익누계액,20191231,561980151,035900,JYP
ifrs-full_RetainedEarnings,이익잉여금,"Retained earnings",자본,"지배기업의 소유주지분",이익잉여금,20191231,75507992104,035900,JYP
ifrs-full_NoncontrollingInterests,비지배지분,"Non-controlling interests",자본,비지배지분,NULL,20191231,3448191777,035900,JYP
ifrs-full_Equity,자본총계,"Total equity",자본,자본총계,NULL,20191231,162349944097,035900,JYP
ifrs-full_OtherCurrentFinancialLiabilities,기타유동금융부채,"Other current financial liabilities",부채,유동부채,기타유동금융부채,20191231,1174296672,035900,JYP
ifrs-full_Liabilities,부채총계,"Total liabilities",부채,부채총계,NULL,20191231,45489735142,035900,JYP
ifrs-full_EquityAndLiabilities,자본과부채총계,"Total equity and liabilities",자본과부채총계,NULL,NULL,20191231,207839679239,035900,JYP
ifrs-full_TradeAndOtherCurrentPayables,매입채무및기타채무,"Trade and other current payables",부채,유동부채,매입채무및기타채무,20191231,9974233606,035900,JYP
ifrs-full_Assets,자산총계,"Total assets",자산,자산총계,NULL,20191231,207839679239,035900,JYP
ifrs-full_CurrentAssets,유동자산,"Current assets",자산,유동자산,NULL,20191231,116257542821,035900,JYP
ifrs-full_CashAndCashEquivalents,현금및현금성자산,"Cash and cash equivalents",자산,유동자산,현금및현금성자산,20191231,38658746138,035900,JYP
entity00258689_udf_BS_20171112102223512_CurrentAssets,당기손익-공정가치측정금융자산(유동),"Current financial assets measured at fair value through profit or loss",자산,유동자산,당기손익-공정가치측정금융자산(유동),20191231,1157800000,035900,JYP
ifrs-full_OtherCurrentFinancialAssets,기타유동금융자산,"Other current financial assets",자산,유동자산,기타유동금융자산,20191231,58634873976,035900,JYP
ifrs-full_TradeAndOtherCurrentReceivables,매출채권및기타채권,"Trade and other current receivables",자산,유동자산,매출채권및기타채권,20191231,14319304388,035900,JYP
ifrs-full_Inventories,재고자산,Inventories,자산,유동자산,재고자산,20191231,690988886,035900,JYP
dart_OtherCurrentAssets,기타유동자산,"Other current assets",자산,유동자산,기타유동자산,20191231,2795686353,035900,JYP
ifrs-full_CurrentTaxAssets,당기법인세자산,"Current tax assets",자산,유동자산,당기법인세자산,20191231,143080,035900,JYP
ifrs-full_CurrentLiabilities,유동부채,"Current liabilities",부채,유동부채,NULL,20191231,43149749830,035900,JYP
entity00258689_udf_BS_2020319171055507_NoncurrentAssets,당기손익-공정가치측정금융자산(비유동),"Non-current financial assets measured at fair value through profit or loss",자산,비유동자산,당기손익-공정가치측정금융자산(비유동),20191231,12364578220,035900,JYP
ifrs-full_NoncurrentFinancialAssetsMeasuredAtFairValueThroughOtherComprehensiveIncome,기타포괄손익-공정가치측정금융자산,"Non-current financial assets measured at fair value through other comprehensive income",자산,비유동자산,기타포괄손익-공정가치측정금융자산,20191231,3292772852,035900,JYP
ifrs-full_OtherNoncurrentFinancialAssets,기타비유동금융자산,"Other non-current financial assets",자산,비유동자산,기타비유동금융자산,20191231,6481582576,035900,JYP
ifrs-full_InvestmentsInAssociates,관계기업투자,"Investments in associates",자산,비유동자산,관계기업투자,20191231,NULL,035900,JYP
ifrs-full_PropertyPlantAndEquipment,유형자산,"Property, plant and equipment",자산,비유동자산,유형자산,20191231,38782757897,035900,JYP
entity00258689_udf_BS_20171112103350886_NoncurrentAssets,무형자산,"intangible asset",자산,비유동자산,무형자산,20191231,29043036790,035900,JYP
dart_OtherNonCurrentAssets,기타비유동자산,"Other non-current assets",자산,비유동자산,기타비유동자산,20191231,NULL,035900,JYP
ifrs-full_DeferredTaxAssets,이연법인세자산,"Deferred tax assets",자산,비유동자산,이연법인세자산,20191231,1486134588,035900,JYP
ifrs-full_NoncurrentAssets,비유동자산,"Non-current assets",자산,비유동자산,NULL,20191231,91582136418,035900,JYP
ifrs-full_NoncurrentFinancialAssetsMeasuredAtFairValueThroughOtherComprehensiveIncome,기타포괄손익-공정가치측정금융자산,"Non-current financial assets measured at fair value through other comprehensive income",자산,비유동자산,기타포괄손익-공정가치측정금융자산,20201231,2965596800,035900,JYP
ifrs-full_OtherNoncurrentFinancialAssets,기타비유동금융자산,"Other non-current financial assets",자산,비유동자산,기타비유동금융자산,20201231,6387766611,035900,JYP
dart_OtherNonCurrentAssets,기타비유동자산,"Other non-current assets",자산,비유동자산,기타비유동자산,20201231,6679101,035900,JYP
ifrs-full_PropertyPlantAndEquipment,유형자산,"Property, plant and equipment",자산,비유동자산,유형자산,20201231,40547332973,035900,JYP
entity00258689_udf_BS_20171112103350886_NoncurrentAssets,무형자산,"intangible asset",자산,비유동자산,무형자산,20201231,30828082474,035900,JYP
entity00258689_udf_BS_2020319171055507_NoncurrentAssets,당기손익-공정가치측정금융자산(비유동),"Non-current financial assets measured at fair value through profit or loss",자산,비유동자산,당기손익-공정가치측정금융자산(비유동),20201231,11773641107,035900,JYP
ifrs-full_InvestmentsInAssociates,관계기업투자,"Investments in associates",자산,비유동자산,관계기업투자,20201231,1906330880,035900,JYP
ifrs-full_NoncurrentAssets,비유동자산,"Non-current assets",자산,비유동자산,NULL,20201231,96996732158,035900,JYP
ifrs-full_TradeAndOtherCurrentReceivables,매출채권및기타채권,"Trade and other current receivables",자산,유동자산,매출채권및기타채권,20201231,19457512337,035900,JYP
dart_OtherCurrentAssets,기타유동자산,"Other current assets",자산,유동자산,기타유동자산,20201231,3417179145,035900,JYP
ifrs-full_Inventories,재고자산,Inventories,자산,유동자산,재고자산,20201231,448282082,035900,JYP
ifrs-full_OtherCurrentFinancialAssets,기타유동금융자산,"Other current financial assets",자산,유동자산,기타유동금융자산,20201231,63983800000,035900,JYP
entity00258689_udf_BS_20171112102223512_CurrentAssets,당기손익-공정가치측정금융자산(유동),"Current financial assets measured at fair value through profit or loss",자산,유동자산,당기손익-공정가치측정금융자산(유동),20201231,5101974076,035900,JYP
ifrs-full_CashAndCashEquivalents,현금및현금성자산,"Cash and cash equivalents",자산,유동자산,현금및현금성자산,20201231,34542244171,035900,JYP
ifrs-full_CurrentAssets,유동자산,"Current assets",자산,유동자산,NULL,20201231,126952970508,035900,JYP
ifrs-full_DeferredTaxAssets,이연법인세자산,"Deferred tax assets",자산,비유동자산,이연법인세자산,20201231,2581302212,035900,JYP
ifrs-full_CurrentTaxAssets,당기법인세자산,"Current tax assets",자산,유동자산,당기법인세자산,20201231,1978697,035900,JYP
ifrs-full_Assets,자산총계,"Total assets",자산,자산총계,NULL,20201231,223949702666,035900,JYP
ifrs-full_CurrentLiabilities,유동부채,"Current liabilities",부채,유동부채,NULL,20201231,33334303727,035900,JYP
dart_CapitalSurplus,자본잉여금,"Capital surplus",자본,"지배기업의 소유주지분",자본잉여금,20201231,76955682199,035900,JYP
ifrs-full_TradeAndOtherCurrentPayables,매입채무및기타채무,"Trade and other current payables",부채,유동부채,매입채무및기타채무,20201231,11049475413,035900,JYP
ifrs-full_Equity,자본총계,"Total equity",자본,자본총계,NULL,20201231,186247335473,035900,JYP
ifrs-full_NoncontrollingInterests,비지배지분,"Non-controlling interests",자본,비지배지분,NULL,20201231,3575567534,035900,JYP
ifrs-full_RetainedEarnings,이익잉여금,"Retained earnings",자본,"지배기업의 소유주지분",이익잉여금,20201231,99912036166,035900,JYP
dart_OtherComprehensiveIncomeLossAccumulatedAmount,기타포괄손익누계액,"Other Comprehensive income/loss accumulated amount",자본,"지배기업의 소유주지분",기타포괄손익누계액,20201231,-85323292,035900,JYP
dart_OtherCapitalAdjustments,자본조정,"Other capital adjustments",자본,"지배기업의 소유주지분",자본조정,20201231,-12054078634,035900,JYP
ifrs-full_IssuedCapital,자본금,"Issued capital",자본,"지배기업의 소유주지분",자본금,20201231,17943451500,035900,JYP
ifrs-full_EquityAttributableToOwnersOfParent,"지배기업의 소유주지분","Equity attributable to owners of parent",자본,"지배기업의 소유주지분",NULL,20201231,182671767939,035900,JYP
ifrs-full_Liabilities,부채총계,"Total liabilities",부채,부채총계,NULL,20201231,37702367193,035900,JYP
ifrs-full_EquityAndLiabilities,자본과부채총계,"Total equity and liabilities",자본과부채총계,NULL,NULL,20201231,223949702666,035900,JYP
dart_OtherNonCurrentLiabilities,기타비유동부채,"Other non-current liabilities",부채,비유동부채,기타비유동부채,20201231,1127130051,035900,JYP
ifrs-full_DeferredTaxLiabilities,이연법인세부채,"Deferred tax liabilities",부채,비유동부채,이연법인세부채,20201231,NULL,035900,JYP
dart_ShortTermAdvancesCustomers,선수금,"Short-term advances customers",부채,유동부채,선수금,20201231,7365481404,035900,JYP
dart_OtherCurrentLiabilities,기타유동부채,"Other current liabilities",부채,유동부채,기타유동부채,20201231,9283877109,035900,JYP
ifrs-full_CurrentTaxLiabilities,당기법인세부채,"Current tax liabilities",부채,유동부채,당기법인세부채,20201231,4172475591,035900,JYP
ifrs-full_OtherCurrentFinancialLiabilities,기타유동금융부채,"Other current financial liabilities",부채,유동부채,기타유동금융부채,20201231,1462994210,035900,JYP
ifrs-full_OtherNoncurrentFinancialLiabilities,기타비유동금융부채,"Other non-current financial liabilities",부채,비유동부채,기타비유동금융부채,20201231,3180175973,035900,JYP
ifrs-full_NoncurrentProvisions,충당부채,"Non-current provisions",부채,비유동부채,충당부채,20201231,60757442,035900,JYP
